 alpha_m, ax_racetraj_mps2, kappa_racetraj_radpm, psi_racetraj_rad, s_racetraj_m, vx_racetraj_mps, width_left_m, width_right_m, x_normvec_m, y_normvec_m, y_ref_m,delta_s,x_bound_l,x_bound_r,x_raceline,x_ref_m,y_bound_l,y_bound_r,y_raceline
-0.2,0,0.038125,2.82988,311.466,18.8175,1.93318,10.0522,-0.945669,0.325132,-290.859,2.97298,126.076,114.742,124.437,124.248,-291.488,-287.591,-290.924
-0.2,0.148856,0.0377046,2.90569,314.439,18.8175,2.04064,9.80332,-0.977194,0.21235,-293.743,2.97559,125.435,113.861,123.636,123.441,-294.177,-291.662,-293.786
-0.18508,0.0598876,0.0378483,3.05676,317.415,18.8442,2.64921,9.20909,-0.995155,0.0983168,-296.703,2.98244,125.613,113.812,123.161,122.976,-296.964,-295.798,-296.722
-0.170943,0.19191,0.0374512,3.132,320.397,18.8506,3.63672,8.36077,-0.999938,-0.0111798,-299.701,2.98552,126.483,114.486,123.017,122.847,-299.66,-299.794,-299.699
-0.16809,0.362033,0.036769,-3.00274,323.383,18.9027,4.74207,7.33026,-0.993138,-0.116948,-302.697,2.9808,127.749,115.76,123.207,123.04,-302.142,-303.554,-302.677
-0.180422,0.446443,0.0363854,-2.92967,326.364,18.9409,5.77405,6.26133,-0.975636,-0.219397,-305.651,2.96622,129.178,117.436,123.721,123.545,-304.384,-307.025,-305.612
-0.2,1.93173,0.0316871,-2.7925,329.33,19.107,6.65726,5.319,-0.947446,-0.319917,-308.525,2.95002,130.658,119.311,124.54,124.35,-306.396,-310.227,-308.461
-0.2,2.96705,0.0282534,-2.73251,332.28,19.3081,7.36408,4.55519,-0.911936,-0.410332,-311.287,2.95692,132.155,121.285,125.622,125.439,-308.265,-313.156,-311.205
-0.180348,4.9,0.0202726,-2.63525,335.237,20.0297,7.88104,3.9927,-0.877227,-0.480075,-313.944,2.97901,133.681,123.265,126.926,126.768,-310.161,-315.861,-313.858
-0.150709,4.9,0.0161075,-2.59888,338.216,20.5131,8.19914,3.63359,-0.848264,-0.529574,-316.521,3.00261,135.236,125.199,128.409,128.281,-312.179,-318.445,-316.441
-0.116917,4.9,0.0070595,-2.55229,341.218,21.4471,8.39354,3.37604,-0.82787,-0.560921,-319.039,3.01898,136.874,127.13,130.022,129.925,-314.331,-320.932,-318.973
-0.078205,4.9,0.0022201,-2.54303,344.237,21.8991,8.50597,3.21312,-0.817633,-0.575739,-321.521,3.02341,138.601,129.019,131.71,131.646,-316.624,-323.371,-321.476
