 alpha_m, ax_racetraj_mps2, kappa_racetraj_radpm, psi_racetraj_rad, s_racetraj_m, vx_racetraj_mps, width_left_m, width_right_m, x_normvec_m, y_normvec_m, y_ref_m,delta_s,x_bound_l,x_bound_r,x_raceline,x_ref_m,y_bound_l,y_bound_r,y_raceline
-0.678558,5.6054,0.0085198,2.01965,295.514,23.1515,2.17697,2.47931,-0.390137,0.920757,118.006,2.95636,92.9876,91.171,92.403,92.1383,116.002,120.289,117.381
-0.816276,5.57252,0.0077126,2.05202,298.47,24.0966,2.26628,2.44306,-0.419713,0.907657,116.8,2.95494,90.3675,88.3909,89.7589,89.4163,114.743,119.018,116.059
-0.929006,5.55616,0.0073033,2.06699,301.425,24.5536,2.37906,2.35293,-0.447635,0.894217,115.508,2.95522,87.7965,85.6783,87.1474,86.7315,113.38,117.612,114.677
-1.0155,5.52357,0.0064692,2.09446,304.38,25.439,2.48781,2.30344,-0.473947,0.880553,114.133,2.95678,85.2637,82.9929,84.5659,84.0846,111.942,116.161,113.238
-1.07432,5.50735,0.0060607,2.10696,307.337,25.8685,2.54285,2.25676,-0.498706,0.866771,112.68,2.95926,82.7441,80.3505,82.0117,81.4759,110.476,114.636,111.749
-1.10407,5.47505,0.0053295,2.12964,310.296,26.7031,2.56136,2.22246,-0.521975,0.852961,111.155,2.9623,80.2431,77.746,79.4824,78.9061,108.97,113.05,110.213
-1.10362,5.45897,0.0050046,2.13994,313.258,27.1089,2.55363,2.23949,-0.543821,0.839201,109.56,2.96555,77.7643,75.1577,76.9758,76.3756,107.417,111.44,108.634
-1.07236,5.42695,0.0045101,2.15885,316.224,27.8995,2.56567,2.33504,-0.564312,0.825561,107.902,2.96862,75.3328,72.5673,74.4901,73.885,105.784,109.83,107.017
-1.01035,5.41101,0.0043392,2.16767,319.193,28.2849,2.56277,2.52607,-0.583537,0.812087,106.184,2.97126,72.9302,69.9607,72.0243,71.4347,104.103,108.236,105.364
-0.91866,5.37927,0.00416,2.18458,322.164,29.0369,2.54182,2.75266,-0.601488,0.798882,104.412,2.97425,70.5542,67.3696,69.5779,69.0253,102.381,106.611,103.678
-0.799825,5.36347,0.0041108,2.19283,325.138,29.4041,2.51025,2.95998,-0.617978,0.786196,102.588,2.97813,68.2072,64.8267,67.1502,66.6559,100.615,104.915,101.959
-0.658039,5.34772,0.0041813,2.2011,328.116,29.7657,2.48201,3.07182,-0.632939,0.774202,100.719,2.98213,65.8952,62.38,64.7408,64.3243,98.797,103.097,100.209
-0.498936,5.31636,0.0044394,2.21824,331.098,30.473,2.46542,3.03498,-0.646444,0.762962,98.8068,2.98565,63.6216,60.0659,62.3504,62.0279,96.9257,101.122,98.4261
-0.329286,5.30074,0.0046504,2.2273,334.084,30.819,2.45775,2.9311,-0.658539,0.752547,96.8571,2.98817,61.3828,57.8341,59.9812,59.7643,95.0075,99.0629,96.6093
