 alpha_m, ax_racetraj_mps2, kappa_racetraj_radpm, psi_racetraj_rad, s_racetraj_m, vx_racetraj_mps, width_left_m, width_right_m, x_normvec_m, y_normvec_m, y_ref_m,delta_s,x_bound_l,x_bound_r,x_raceline,x_ref_m,y_bound_l,y_bound_r,y_raceline
-0.151178,5.38514,0.0139267,-0.551848,96.3351,10.6348,1.31338,0.698822,0.877713,-0.479186,-33.0835,1.04673,39.1311,40.8972,40.1512,40.2839,-32.4542,-33.4184,-33.0111
-0.0907014,5.3165,0.0127483,-0.542514,97.3818,10.9835,1.21308,0.86027,0.885826,-0.464018,-32.1599,1.05085,39.7026,41.5392,40.6968,40.7771,-31.597,-32.5591,-32.1178
-0.0293892,5.36113,0.0098965,-0.526413,98.4326,11.6437,1.11755,0.899441,0.890616,-0.454756,-31.2272,1.04988,40.2636,42.0599,41.2327,41.2589,-30.719,-31.6363,-31.2139
0.0276574,5.33702,0.0075346,-0.520316,99.4825,11.9617,1.03517,1.03423,0.892192,-0.451657,-30.2924,1.04397,40.8099,42.6562,41.7581,41.7334,-29.8249,-30.7596,-30.3049
0.0764813,5.41369,0.0065685,-0.511028,100.526,12.5735,0.983124,1.09024,0.891276,-0.453462,-29.3623,1.03598,41.3289,43.1768,42.2733,42.2051,-28.9165,-29.8566,-29.3969
0.114678,5.39948,0.0079068,-0.505967,101.562,12.8714,0.91761,1.15179,0.889767,-0.456414,-28.4401,1.02875,41.8599,43.7012,42.7784,42.6763,-28.0213,-28.9658,-28.4924
0.141445,5.47611,0.007707,-0.494902,102.591,13.448,0.872053,1.1633,0.888523,-0.458832,-27.5254,1.02232,42.3723,44.1808,43.2728,43.1471,-27.1253,-28.0591,-27.5903
0.157204,5.45411,0.0074001,-0.489618,103.614,13.7301,0.847211,1.22219,0.887394,-0.461012,-26.6174,1.0167,42.8656,44.702,43.757,43.6175,-26.2268,-27.1809,-26.6899
0.162937,5.4899,0.0069801,-0.48458,104.63,14.0054,0.816008,1.25339,0.88643,-0.462863,-25.7154,1.01184,43.3639,45.1983,44.2317,44.0873,-25.3377,-26.2956,-25.7908
0.159762,5.50551,0.0060433,-0.47545,105.642,14.5453,0.839933,1.21952,0.885625,-0.464401,-24.8187,1.00771,43.8127,45.6366,44.698,44.5566,-24.4286,-25.385,-24.8929
0.148855,5.52441,0.0055076,-0.471405,106.65,14.8079,0.866652,1.20275,0.884989,-0.465613,-23.9264,1.00426,44.2583,46.0897,45.157,45.0252,-23.5229,-24.4864,-23.9957
0.13144,5.54518,0.0043509,-0.464493,107.654,15.3225,0.876092,1.19331,0.884524,-0.466495,-23.0379,1.00145,44.7184,46.5488,45.6096,45.4933,-22.6292,-23.5946,-23.0992
0.108774,5.54221,0.0037388,-0.461661,108.656,15.5737,0.935376,1.13402,0.884235,-0.467042,-22.1524,0.999258,45.1336,46.9634,46.0569,45.9607,-21.7156,-22.6821,-22.2032
0.0821338,5.56765,0.0025039,-0.457292,109.655,16.065,0.969168,1.10023,0.884124,-0.467251,-21.2692,0.997664,45.5705,47.4001,46.5,46.4274,-20.8164,-21.7833,-21.3076
0.0527848,5.54169,0.0018955,-0.455753,110.652,16.3058,0.974862,1.09454,0.884194,-0.467121,-20.3875,0.996652,46.0313,47.8611,46.94,46.8933,-19.9322,-20.8988,-20.4122
0.0219595,5.56396,0.0007935,-0.453891,111.649,16.7754,0.981772,1.08763,0.884443,-0.466647,-19.5066,0.99622,46.4901,48.3203,47.3778,47.3584,-19.0485,-20.0142,-19.5169
-0.0091772,5.53206,0.00031,-0.453509,112.645,17.006,1.01629,1.0531,0.884871,-0.465836,-18.6258,0.99637,46.9234,48.7545,47.8146,47.8227,-18.1523,-19.1163,-18.6215
-0.0395822,5.53043,-1.55e-05,-0.453406,113.642,17.2322,1.04883,1.02057,0.885484,-0.464671,-17.7442,0.997089,47.3574,49.1898,48.251,48.2861,-17.2568,-18.2184,-17.7258
-0.068395,5.51807,-0.0007627,-0.453945,114.639,17.676,1.06816,1.00124,0.886215,-0.463274,-16.8612,0.998047,47.8019,49.6359,48.6879,48.7486,-16.3664,-17.3251,-16.8295
-0.0949718,5.4989,-0.0010968,-0.454596,115.637,17.8931,1.06771,1.00169,0.886951,-0.461863,-15.9766,0.999021,48.2631,50.0986,49.1259,49.2101,-15.4834,-16.4392,-15.9327
-0.118888,5.50177,-0.0014382,-0.456411,116.636,18.3185,1.11018,1.01811,0.887665,-0.46049,-15.0902,1.00001,48.6853,50.5745,49.5652,49.6708,-14.579,-15.5591,-15.0355
-0.139911,5.46872,-0.0015152,-0.457445,117.636,18.5275,1.06048,1.00892,0.888362,-0.459144,-14.2022,1.00102,49.1885,51.0269,50.0063,50.1306,-13.7153,-14.6655,-14.138
-0.157948,5.21125,-0.0015337,-0.458513,118.637,18.733,1.07275,0.996646,0.889041,-0.457827,-13.3126,1.00206,49.6358,51.4756,50.4491,50.5896,-12.8214,-13.7689,-13.2403
-0.172999,3.22741,-0.0014976,-0.460649,119.639,19.1042,1.09499,0.974413,0.889704,-0.456538,-12.4213,1.00311,50.0735,51.9147,50.8938,51.0477,-11.9213,-12.8661,-12.3423
-0.185133,1.65221,-0.001396,-0.461662,120.642,19.2221,1.11415,0.955252,0.890349,-0.455278,-11.5283,1.0042,50.5132,52.3557,51.3403,51.5051,-11.021,-11.9632,-11.444
-0.194518,-1.87005,-0.0011017,-0.46342,121.646,19.2902,1.12577,0.943635,0.890978,-0.454047,-10.6337,1.0053,50.9588,52.8026,51.7885,51.9618,-10.1225,-11.0621,-10.5454
-0.201393,-3.77589,-0.0009612,-0.464142,122.652,19.2222,1.09233,0.977069,0.891589,-0.452845,-9.73747,1.00642,51.4439,53.2889,52.2382,52.4178,-9.24281,-10.1799,-9.64627
-0.20597,-6.03534,-0.0007873,-0.465386,123.658,18.9035,1.10788,0.961516,0.892185,-0.451671,-8.83963,1.00756,51.8846,53.7309,52.6893,52.873,-8.33923,-9.27392,-8.7466
-0.20841,-6.57402,-0.0005718,-0.465862,124.666,18.6787,1.10017,0.969229,0.892764,-0.450526,-7.94017,1.00871,52.3455,54.193,53.1416,53.3277,-7.44452,-8.37684,-7.84628
-0.209035,-6.74383,-5.6e-05,-0.466272,125.674,18.1751,1.09291,0.976493,0.893326,-0.449409,-7.03912,1.00987,52.8053,54.654,53.5949,53.7817,-6.54796,-7.47796,-6.94518
-0.20825,-6.86796,9.52e-05,-0.466257,126.684,17.9135,1.09775,0.999987,0.893873,-0.448321,-6.13647,1.01105,53.2538,55.1289,54.0489,54.2351,-5.64432,-6.58478,-6.0431
-0.206294,-6.84264,2.93e-05,-0.466213,127.695,17.6431,1.06871,1.00069,0.894403,-0.447261,-5.23223,1.01223,53.7321,55.5829,54.5034,54.6879,-4.75424,-5.6798,-5.13996
-0.203132,-6.82406,-0.0002375,-0.466343,128.707,17.0928,1.05751,1.01189,0.894918,-0.446231,-4.32642,1.01343,54.1938,56.0458,54.9584,55.1402,-3.85452,-4.77795,-4.23577
-0.198599,-6.80948,-0.0003353,-0.466543,129.721,16.811,1.0486,1.0208,0.895417,-0.445228,-3.41903,1.01464,54.6531,56.5061,55.4142,55.592,-2.95217,-3.87352,-3.33061
