alpha_m,ax_racetraj_mps2,delta_s,kappa_racetraj_radpm,psi_racetraj_rad,s_racetraj_m,vx_racetraj_mps,width_left_m,width_right_m,x_bound_l,x_bound_r,x_normvec_m,x_raceline,x_ref_m,y_bound_l,y_bound_r,y_normvec_m,y_raceline,y_ref_m
0.0932327,-13.3697,2.99638,5.01e-05,-2.21162,44.949,49.6308,1.90601,9.60072,180.871,173.949,-0.601577,179.668,179.724,-155.92,-165.111,-0.798815,-157.517,-157.442
0.0785616,-13.3574,2.99634,5.8e-05,-2.2114,47.9454,48.5418,1.89562,9.6182,183.258,176.33,-0.601758,182.07,182.118,-157.731,-166.927,-0.798679,-159.308,-159.245
0.0626993,-13.3519,2.99629,6.19e-05,-2.21128,50.9417,47.9884,1.89846,9.63915,185.653,178.708,-0.601935,184.473,184.511,-159.532,-168.746,-0.798545,-161.098,-161.048
0.0456056,-13.342,2.99625,6.98e-05,-2.21102,53.938,46.8627,1.89628,9.64954,188.045,181.093,-0.602109,186.876,186.903,-161.338,-170.556,-0.798414,-162.889,-162.852
0.0272402,-13.3378,2.9962,7.37e-05,-2.21087,56.9343,46.2899,1.89059,9.66413,190.434,183.474,-0.60228,189.279,189.295,-163.147,-172.371,-0.798285,-164.678,-164.656
0.0075628,-13.33,2.99614,8.15e-05,-2.21056,59.9305,45.1231,1.89788,9.65808,192.83,185.868,-0.602447,191.682,191.687,-164.946,-174.17,-0.798159,-166.467,-166.461
-0.0134667,-13.33,2.9961,8.57e-05,-2.2104,62.9266,44.5285,1.9004,9.6342,195.223,188.272,-0.602611,194.086,194.078,-166.75,-175.955,-0.798035,-168.256,-168.266
-0.0357863,-13.3934,2.9961,5.68e-05,-2.21009,65.9227,43.3138,1.91062,9.61264,197.62,190.675,-0.602729,196.49,196.468,-168.547,-177.742,-0.797946,-170.043,-170.072
-0.0588953,-13.4342,2.99618,3.61e-05,-2.21,68.9188,42.691,1.93231,9.59647,200.024,193.075,-0.602757,198.895,198.859,-170.336,-179.535,-0.797925,-171.831,-171.878
-0.0821756,-13.4574,2.99632,-5.1e-06,-2.20994,71.915,41.4116,1.94318,9.59368,202.421,195.468,-0.602694,201.299,201.25,-172.133,-181.339,-0.797973,-173.618,-173.684
-0.105009,-13.4258,2.99652,-2.57e-05,-2.20997,74.9113,40.7566,1.95642,9.57084,204.82,197.874,-0.602539,203.704,203.641,-173.928,-183.128,-0.798089,-175.406,-175.489
-0.126778,-13.3688,2.9968,-6.67e-05,-2.21015,77.9078,39.4188,1.96232,9.52991,207.214,200.293,-0.602294,206.109,206.033,-175.728,-184.902,-0.798274,-177.193,-177.295
-0.146865,-13.3444,2.99714,-8.74e-05,-2.21031,80.9046,38.7347,1.96909,9.4878,209.611,202.714,-0.601958,208.514,208.425,-177.527,-186.675,-0.798528,-178.982,-179.099
