 alpha_m, ax_racetraj_mps2, kappa_racetraj_radpm, psi_racetraj_rad, s_racetraj_m, vx_racetraj_mps, width_left_m, width_right_m, x_normvec_m, y_normvec_m, y_ref_m,delta_s,x_bound_l,x_bound_r,x_raceline,x_ref_m,y_bound_l,y_bound_r,y_raceline
-0.171534,0.481895,1.48e-05,0.986342,242.897,58.7149,2.71714,11.4468,0.552657,0.833409,86.0428,2.99864,-205,-197.173,-203.594,-203.499,83.7783,95.5826,85.8998
-0.174694,0.475745,1.49e-05,0.986372,245.895,58.7313,2.7305,11.4704,0.552575,0.833463,87.6999,2.99863,-207.507,-199.66,-206.094,-205.998,85.4241,97.2601,87.5543
-0.177692,0.463683,1.51e-05,0.986432,248.894,58.7635,2.74913,11.5027,0.552492,0.833518,89.3567,2.99863,-210.016,-202.142,-208.595,-208.497,87.0653,98.9445,89.2086
-0.180523,0.457771,1.52e-05,0.986462,251.893,58.7793,2.7613,11.5244,0.552407,0.833575,91.0133,2.99862,-212.522,-204.631,-211.097,-210.997,88.7116,100.62,90.8628
-0.183182,0.446174,1.54e-05,0.986523,254.891,58.8102,2.76168,11.5498,0.55232,0.833632,92.6697,2.99861,-215.022,-207.117,-213.598,-213.496,90.3674,102.298,92.517
-0.185665,0.440489,1.55e-05,0.986554,257.89,58.8254,2.75841,11.5663,0.552232,0.833691,94.3257,2.99861,-217.52,-209.609,-216.099,-215.996,92.0261,103.968,94.1709
-0.187967,0.429339,1.56e-05,0.986616,260.888,58.8551,2.75867,11.5665,0.552142,0.83375,95.9815,2.9986,-220.02,-212.11,-218.6,-218.496,93.6815,105.625,95.8248
-0.190082,0.423873,1.57e-05,0.986648,263.887,58.8697,2.75306,11.5636,0.552051,0.833811,97.6371,2.99859,-222.516,-214.613,-221.101,-220.997,95.3415,107.279,97.4786
-0.192008,0.413152,1.59e-05,0.986711,266.886,58.8983,2.75009,11.5553,0.551958,0.833872,99.2923,2.99859,-225.015,-217.119,-223.603,-223.497,96.9991,108.928,99.1322
-0.193738,0.407895,1.6e-05,0.986742,269.884,58.9123,2.73665,11.5542,0.551863,0.833935,100.947,2.99858,-227.508,-219.621,-226.104,-225.997,98.6651,110.583,100.786
-0.195269,0.397585,1.62e-05,0.986807,272.883,58.9398,2.73191,11.5558,0.551767,0.833998,102.602,2.99857,-230.006,-222.122,-228.606,-228.498,100.324,112.24,102.439
-0.196596,0.39253,1.62e-05,0.986839,275.881,58.9533,2.73716,11.5554,0.551669,0.834063,104.256,2.99857,-232.509,-224.624,-231.108,-230.999,101.973,113.894,104.092
-0.197713,0.382615,1.64e-05,0.986904,278.88,58.9797,2.73682,11.5551,0.551569,0.834129,105.91,2.99856,-235.01,-227.127,-233.609,-233.5,103.628,115.549,105.745
-0.198617,0.377754,1.65e-05,0.986937,281.878,58.9927,2.72921,11.5551,0.551468,0.834196,107.564,2.99855,-237.507,-229.629,-236.111,-236.002,105.287,117.203,107.399
-0.199302,0.368219,1.67e-05,0.987004,284.877,59.0181,2.72307,11.5504,0.551365,0.834264,109.218,2.99855,-240.004,-232.135,-238.613,-238.503,106.946,118.854,109.051
-0.199765,0.363543,1.68e-05,0.987037,287.876,59.0306,2.7298,11.5455,0.551261,0.834333,110.871,2.99854,-242.51,-234.64,-241.115,-241.005,108.593,120.504,110.704
-0.2,0.354372,1.65e-05,0.987104,290.874,59.055,2.73323,11.5489,0.551155,0.834403,112.524,2.99853,-245.013,-237.141,-243.617,-243.507,110.243,122.16,112.357
-0.2,0.349876,1.59e-05,0.987136,293.873,59.067,2.73759,11.5551,0.551047,0.834474,114.176,2.99853,-247.517,-239.641,-246.119,-246.009,111.892,123.819,114.009
-0.19975,0.341055,1.31e-05,0.987194,296.871,59.0905,2.73955,11.5525,0.550937,0.834547,115.828,2.99852,-250.02,-242.146,-248.621,-248.511,113.542,125.469,115.662
-0.199228,0.33673,1.24e-05,0.987219,299.87,59.1021,2.72781,11.5575,0.550828,0.834619,117.48,2.99852,-252.516,-244.647,-251.123,-251.014,115.203,127.126,117.314
-0.198431,0.328245,1.21e-05,0.987268,302.868,59.1247,2.69333,11.5547,0.550722,0.834689,119.132,2.99851,-255,-247.153,-253.626,-253.516,116.884,128.776,118.966
-0.197369,0.324085,1.19e-05,0.987292,305.867,59.1358,2.63462,11.5548,0.55062,0.834756,120.783,2.99851,-257.47,-249.657,-256.128,-256.019,118.584,130.428,120.618
-0.196055,0.315924,1.15e-05,0.987339,308.865,59.1575,2.56137,11.5641,0.550521,0.834821,122.434,2.99851,-259.933,-252.156,-258.63,-258.522,120.296,132.088,122.27
-0.194499,0.311922,1.13e-05,0.987362,311.864,59.1682,2.49055,11.5788,0.550427,0.834883,124.084,2.9985,-262.397,-254.652,-261.133,-261.026,122.005,133.751,123.922
-0.192714,0.304071,1.09e-05,0.987406,314.862,59.1891,2.49712,11.6051,0.550337,0.834943,125.735,2.9985,-264.904,-257.143,-263.635,-263.529,123.65,135.424,125.574
-0.19071,0.300221,1.07e-05,0.987428,317.861,59.1994,2.5225,11.6412,0.55025,0.835,127.385,2.9985,-267.421,-259.627,-266.138,-266.033,125.279,137.105,127.226
-0.188499,0.292669,1.03e-05,0.98747,320.859,59.2195,2.41915,11.6839,0.550168,0.835054,129.035,2.9985,-269.868,-262.109,-268.641,-268.537,127.015,138.791,128.877
