x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m; alpha_m; s_racetraj_m; psi_racetraj_rad; kappa_racetraj_radpm; vx_racetraj_mps; ax_racetraj_mps2
51.0477396; -12.4212504; 0.9744128; 1.0949872; 0.8897037; -0.4565384; -0.1729986; 119.6389192; -0.4606495; -0.0014976; 19.1041869; 3.2274058
51.5051476; -11.5282903; 0.9552525; 1.1141475; 0.8903491; -0.4552785; -0.1851326; 120.6420337; -0.4616621; -0.0013960; 19.2220762; 1.6522064
51.9618148; -10.6336943; 0.9436346; 1.1257654; 0.8909776; -0.4540473; -0.1945179; 121.6462290; -0.4634196; -0.0011017; 19.2902121; -1.8700474
52.4177709; -9.7374707; 0.9770692; 1.0923308; 0.8915894; -0.4528448; -0.2013928; 122.6515265; -0.4641416; -0.0009612; 19.2222340; -3.7758892
52.8730455; -8.8396279; 0.9615160; 1.1078840; 0.8921846; -0.4516709; -0.2059701; 123.6579449; -0.4653861; -0.0007873; 18.9035327; -6.0353408
53.3276684; -7.9401742; 0.9692290; 1.1001710; 0.8927635; -0.4505256; -0.2084104; 124.6655009; -0.4658618; -0.0005718; 18.6787119; -6.5740193
53.7816691; -7.0391180; 0.9764927; 1.0929073; 0.8933261; -0.4494090; -0.2090350; 125.6742094; -0.4662719; -0.0000560; 18.1751456; -6.7438271
54.2350773; -6.1364676; 0.9999869; 1.0977491; 0.8938726; -0.4483210; -0.2082504; 126.6840827; -0.4662567; 0.0000952; 17.9135366; -6.8679626
54.6879227; -5.2322313; 1.0006925; 1.0687075; 0.8944032; -0.4472615; -0.2062945; 127.6951313; -0.4662132; 0.0000293; 17.6431256; -6.8426416
55.1402348; -4.3264176; 1.0118853; 1.0575147; 0.8949180; -0.4462306; -0.2031324; 128.7073651; -0.4663426; -0.0002375; 17.0928148; -6.8240565
55.5920434; -3.4190347; 1.0208006; 1.0485994; 0.8954171; -0.4452282; -0.1985987; 129.7207946; -0.4665430; -0.0003353; 16.8110343; -6.8094840
56.0433781; -2.5100909; 1.0173975; 1.0520025; 0.8959007; -0.4442543; -0.1925776; 130.7354307; -0.4670885; -0.0004114; 16.2356212; -6.7682937
56.4942685; -1.5995947; 1.0154754; 1.0539246; 0.8963689; -0.4433089; -0.1850468; 131.7512837; -0.4673615; -0.0003686; 15.9411423; -6.7674671
56.9447443; -0.6875544; 1.0136086; 1.0557914; 0.8968219; -0.4423918; -0.1760974; 132.7683631; -0.4677347; -0.0001376; 15.3370804; -6.7087480
57.3948352; 0.2260217; 1.0152082; 1.0541918; 0.8972597; -0.4415031; -0.1659263; 133.7866761; -0.4677742; 0.0000244; 15.0277749; -6.7290882
57.8445707; 1.1411253; 1.0152861; 1.0541139; 0.8976825; -0.4406428; -0.1547962; 134.8062284; -0.4675173; 0.0003240; 14.3892070; -6.6519512
58.2939806; 2.0577480; 1.0225932; 1.0468068; 0.8980904; -0.4398108; -0.1429682; 135.8270244; -0.4672537; 0.0004290; 14.0618909; -6.6939569
58.7430944; 2.9758814; 1.0362566; 1.0331434; 0.8984838; -0.4390067; -0.1306219; 136.8490686; -0.4666514; 0.0003855; 13.3811829; -6.5979071
59.1919418; 3.8955172; 1.0658526; 1.0309998; 0.8988618; -0.4382321; -0.1177920; 137.8723670; -0.4664192; 0.0002756; 13.0314701; -6.6505233
59.6405526; 4.8166471; 1.0964596; 0.9729404; 0.8992277; -0.4374808; -0.1043547; 138.8969265; -0.4662903; 0.0000927; 12.6692032; -6.6114829
60.0889562; 5.7392628; 1.1042023; 0.9651977; 0.8995705; -0.4367755; -0.0901240; 139.9227585; -0.4662619; 0.0000800; 11.9196393; -6.5990804
60.5371824; 6.6633558; 1.1149632; 0.9544368; 0.8999315; -0.4360313; -0.0752628; 140.9498590; -0.4659528; 0.0008026; 11.5255939; -6.5774958
60.9852629; 7.5889145; 1.1258148; 0.9435852; 0.9001530; -0.4355738; -0.0611180; 141.9782376; -0.4625037; 0.0035390; 10.7011428; -6.5526825
61.4343727; 8.5140382; 1.1364131; 0.9346979; 0.8984619; -0.4390515; -0.0509120; 143.0068723; -0.4615610; -0.0008476; 10.2635729; -6.3219012
61.8887367; 9.4317878; 1.1421736; 0.9320148; 0.8933116; -0.4494378; -0.0462619; 144.0315107; -0.4695692; -0.0107227; 9.3852695; -5.5557833
62.3530825; 10.3343935; 1.1719125; 0.8974875; 0.8844285; -0.4666757; -0.0474875; 145.0474727; -0.4787553; -0.0155760; 8.9613268; -4.8254113
62.8321380; 11.2140854; 1.1258480; 0.9435520; 0.8711149; -0.4910793; -0.0550858; 146.0506266; -0.5094765; -0.0292533; 8.2293045; -3.4128166
63.3306308; 12.0630936; 1.0823362; 0.9870638; 0.8524297; -0.5228419; -0.0682630; 147.0375757; -0.5330124; -0.0382568; 7.9337020; -2.5313621
63.8532886; 12.8736483; 0.9738046; 1.0955954; 0.8268647; -0.5624010; -0.0852291; 148.0058842; -0.5627866; -0.0466611; 7.7071271; -2.2144898
64.4048395; 13.6380277; 0.8511123; 1.2182877; 0.7932858; -0.6088494; -0.1049443; 148.9542728; -0.6430926; -0.0679973; 7.3321468; -1.0432332
64.9900510; 14.3542202; 0.7267952; 1.3427006; 0.7548961; -0.6558444; -0.1232048; 149.8864145; -0.6918241; -0.0709656; 7.2318660; -0.3967234
65.6137672; 15.0312482; 0.7676352; 1.3073648; 0.7158874; -0.6982157; -0.1357193; 150.8146512; -0.7412399; -0.0697834; 7.1933641; -0.2854571
